"V1" "V2"
"1" 2322145.89238725 2322145.89238725
"2" 5603023.45835565 5712132.79001359
"3" 6407294.87436792 7008656.38643848
"4" 7524635.16073722 7597428.21242218
"5" 8920998.6065533 8828741.80757668
"6" 10565761.5185068 10046989.492856
"7" 11185081.090349 10393311.8537184
"8" 11254123.938197 10870737.0480544
"9" 11623624.5556308 11076358.4427111
"10" 12049736.0391733 11082664.8520433
"11" 11881096.0052166 11813320.255297
"12" 12068484.8166816 11813320.255297
"13" 12489282.0324075 11813320.255297
"14" 12263144.4736218 11813320.255297
"15" 12263144.4736218 11813320.255297
"16" 12263144.4736218 11813320.255297
"17" 12263144.4736218 11813320.255297
"18" 12263144.4736218 11813320.255297
"19" 12263144.4736218 11813320.255297
"20" 12263144.4736218 11813320.255297
"21" 12263144.4736218 11813320.255297
"22" 12263144.4736218 11813320.255297
"23" 12263144.4736218 11813320.255297
"24" 12263144.4736218 11813320.255297
"25" 12263144.4736218 11813320.255297
"26" 12263144.4736218 11813320.255297
